Succinyl-CoA
Acetate
Ethanol
Acetaldehyde
Oxaloacetate
D-Glycerate_2-phosphate
Coenzyme_A
Nicotinamide_adenine_dinucleotide_-_reduced
Glyoxylate
Pyruvate
2-Oxoglutarate
Fumarate
3-Phospho-D-glycerate
Acetate
Ubiquinone-8
D-Lactate
Nicotinamide_adenine_dinucleotide_phosphate_-_reduced
D-Ribulose_5-phosphate
ADP_C10H12N5O10P2
2-Oxoglutarate
Phosphoenolpyruvate
Formate
Cis-Aconitate
L-Malate
Alpha-D-Ribose_5-phosphate
Ammonium
Sedoheptulose_7-phosphate
Succinate
O2_O2
L-Glutamate
Phosphate
D-Erythrose_4-phosphate
Nicotinamide_adenine_dinucleotide
L-Glutamine
L-Glutamate
L-Malate
D-Xylulose_5-phosphate
3-Phospho-D-glyceroyl_phosphate
Ubiquinol-8
D-Fructose
Fumarate
Ammonium
Ethanol
Nicotinamide_adenine_dinucleotide_phosphate
H+
Phosphate
D-Glucose_6-phosphate
"6-phospho-D-glucono-1,5-lactone"
CO2_CO2
Pyruvate
H2O_H2O
6-Phospho-D-gluconate
Acetyl-CoA
D-Glucose
L-Glutamine
H2O_H2O
H+
O2_O2
Acetyl_phosphate
Citrate
Dihydroxyacetone_phosphate
"D-Fructose_1,6-bisphosphate"
D-Lactate
CO2_CO2
Glyceraldehyde_3-phosphate
Acetaldehyde
Isocitrate
AMP_C10H12N5O7P
Succinate
ATP_C10H12N5O13P3
Formate
D-Fructose_6-phosphate
