5-amino-1-(5-phospho-D-ribosyl)imidazole
UDP-3-O(3-hydroxypalmetoyl)-D-glucosamine
L-Phenylalanine
4-Amino-2-methyl-5-phosphomethylpyrimidine
1-deoxy-D-xylulose
L-Lysine
UMP_C9H11N2O9P
DATP_C10H12N5O12P3
D-Glycerate_2-phosphate
Flavin_adenine_dinucleotide_reduced
Pyruvate
Orotate_C5H3N2O4
4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol
"N6-(1,2-Dicarboxyethyl)-AMP"
Adenine
"(R)-2,3-Dihydroxy-3-methylbutanoate"
3-Phospho-D-glycerate
Phosphatidylglycerol_Hp_specific
LipidA_HP
Pimelate
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
Nitric_oxide
L-Valine
Succinate_semialdehyde-thiamin_diphosphate_anion
Diphosphate
Phosphoenolpyruvate
N(omega)-(L-Arginino)succinate
Protoporphyrin
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
2-Deoxy-D-ribose_1-phosphate
D-Mannose_1-phosphate
NMN_C11H14N2O8P
Xanthosine
Prephenate
Uroporphyrinogen_III
Xanthine
Isopentenyl_diphosphate
D-Mannose_6-phosphate
Anthranilate
Spermine_C10H30N4
5-Methylthioadenosine
UTP_C9H11N2O15P3
5_L_Glutamyl_L_alanine_C8H13N2O5
3-Deoxy-D-manno-2-octulosonate
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate
O2_O2
D-Alanyl-D-alanine
4-Methyl-5-(2-phosphoethyl)-thiazole
L-Cysteine
Palmitoyl-ACP_(n-C16:0ACP)
D-Erythrose_4-phosphate
"D-Glycero-D-manno-heptose_1,7-bisphosphate"
L-Malate
KDO-lipid_IV(A)_HP
Nickel
3-Deoxy-D-manno-octulosonate_8-phosphate
UDP-N-acetylmuramate
D-Glucosamine_6-phosphate
2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate
L-Methionine
D-Glucose
2-Oxobutanoate
UDP-glucosamine
Ethanol
3-Methyl-2-oxobutanoate
Riboflavin_C17H20N4O6
Dihydroneopterin_monophosphate
Thymidine_C10H14N2O5
5-Phospho-alpha-D-ribose_1-diphosphate
Biotin
L-Aspartate
Ornithine
Shikimate_5-phosphate
Deoxyuridine
1-Pyrroline-5-carboxylate
L_1_Pyrroline_3_hydroxy_5_carboxylate_C5H6NO3
19_carbon_cyclopropane-ACP
Alpha-D-Galactose_1-phosphate
2-phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol
Uridine
N-Acetyl-D-muramoyl-L-alanine
DAMP_C10H12N5O6P
Dihydropteroate
Sodium
D-Glucose
H+
L_4_Hydroxyglutamate_semialdehyde_C5H9NO4
Thiamin_monophosphate
2-Dehydropantoate
Urea_CH4N2O
Core_lps_hp
Reduced_thioredoxin
CO2_CO2
D-Alanine
LipidX_HP
L-Leucine
4-hydroxy-5-methyl-3(2H)-furanone
Thiamin
N-Carbamoyl-L-aspartate
(R)-3-Hydroxyoctadecanoyl-[acyl-carrier_protein]
ATP_C10H12N5O13P3
Formate
L-Glutamate_1-semialdehyde
4-Methyl-2-oxopentanoate
Protoporphyrinogen_IX
L-Asparagine
Acetate
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
UDP-N-acetylmuramoyl-L-alanine
Acrylic_acid
L-Lysine
Sulfate
D-Galactose
L-Alanine
"N-Succinyl-LL-2,6-diaminoheptanedioate"
Reduced_FMN
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
D-Glycero-D-manno-heptose_1-phosphate
Indole
O-Succinylbenzoyl-CoA
Guanine
Glycolate_C2H3O3
L-Isoleucine
Coenzyme_A
Fumarate
2-Oxoglutarate
N1-(5-Phospho-D-ribosyl)glycinamide
"2-Octaprenyl-6-methoxy-1,4-benzoquinol"
Peptidoglycan_subunit_of_Escherichia_coli
(S)-2-Acetolactate
O-Succinylbenzoate
L-Tyrosine
Bicarbonate
(S)-Dihydroorotate
GMP_C10H12N5O8P
CDP_C9H12N3O11P2
2-Oxoglutarate
Formate
Urea_CH4N2O
Ornithine
Carbamoyl_phosphate
Ammonium
(S)-3-Methyl-2-oxopentanoate
10-Formyltetrahydrofolate
Sedoheptulose_7-phosphate
L-Histidine
2_Amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_diphosphate_C7H8N5O8P2
D-Glucosamine_1-phosphate
Biotinyl_5__AMP_C20H27N7O9PS
"1,4-Dihydroxy-2-naphthoate"
Deoxyguanosine
Deoxyinosine
Thiamin
Hydroxymethylbilane
L-Cysteine
(R)-Pantothenate
Deoxyadenosine
Adenosine
Pimelate
Farnesyl_diphosphate
"5,6,7,8-Tetrahydrofolate"
4-Hydroxy-benzyl_alcohol
UDP-2-hydroxyoctadecanoyl-D-glucosamine
U2ga_HP
Putrescine
Menaquinol_6
Sodium
Superoxide_anion
3-Phospho-D-glyceroyl_phosphate
Undecaprenyl_diphosphate
Trans_4_Hydroxy_L_proline_C5H9NO3
"5,10-Methylenetetrahydrofolate"
5-Methyltetrahydrofolate
DTTP_C10H13N2O14P3
Uroporphyrinogen_I
"1,2-Diacylglycerol_Hp_specific"
Oxidized_ferredoxin
Ammonium
5-Methylthio-D-ribose
GTP_C10H12N5O14P3
N-(5-Phospho-D-ribosyl)anthranilate
L-Cystathionine
Oxidized_thioredoxin
Nicotinamide_adenine_dinucleotide_phosphate
Protoheme_C34H30FeN4O4
Lipopolysacharide_Hp_specific
4-amino-4-deoxychorismate
(S)-2-Aceto-2-hydroxybutanoate
2_Amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_C7H9N5O2
H+
Acetyl-ACP
CMP_C9H12N3O8P
Cardiolipin_(Hpylori)
3-Dehydroquinate
Orotidine_5'-phosphate
Nitrite
L-Proline
"2,3,4,5-Tetrahydrodipicolinate"
Xanthosine_5'-phosphate
"(R)-2,3-Dihydroxy-3-methylpentanoate"
D-Glucose_6-phosphate
O-Acetyl-L-serine
"6-phospho-D-glucono-1,5-lactone"
CO2_CO2
O-Phospho-L-homoserine
GDP_C10H12N5O11P2
Acrylamide
Menaquinone_6
Dihydroxyacetone_phosphate
H2O_H2O
CTP_C9H12N3O14P3
"D-Fructose_1,6-bisphosphate"
L-Lactaldehyde
C'-(3-Indolyl)-glycerol_3-phosphate
4-Aminobenzoate
S-Ribosyl-L-homocysteine
4_Hydroxy_2_oxoglutarate_C5H4O6
DUMP_C9H11N2O8P
Glyceraldehyde_3-phosphate
D-Arabinose_5-phosphate
Acetoacetate
UDP-3-O-(3-hydroxypalmetoyl)-N-acetylglucosamine
S-Adenosyl-4-methylthio-2-oxobutanoate
DGDP_C10H12N5O10P2
D-4'-Phosphopantothenate
Ferrocytochrome_c-553
AMP_C10H12N5O7P
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
Thymidine_C10H14N2O5
Succinyl-CoA
Deoxyuridine
Adenosine
L-Fuculose_1-phosphate
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine_triphosphate"
3-Octaprenyl-4-hydroxybenzoate
D-Serine
Acetaldehyde
Fe2+_mitochondria
D-O-Phosphoserine
L-Glutamate_5-semialdehyde
Guanosine
GDP-D-mannose
Acyl_carrier_protein
4-Hydroxybenzoate
"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"
Iron_(Fe3+)
L-Homoserine
Glyoxylate
Carbonic_acid
Nitrite
NMN_C11H14N2O8P
Acetamide
D-Ribose
L-Lactate
4-Phospho-L-aspartate
D-Galactose
Malonyl-[acyl-carrier_protein]
L-Valine
4-(1-D-Ribitylamino)-5-aminouracil
"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
"2-Octaprenyl-3-methyl-6-methoxy-_1,4-benzoquinol"
(R)-Pantoate
D-Glyceraldehyde
Citrate
Quinolinate
Thiamine_diphosphate
"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
Hydrogen_sulfide
L-Tryptophan
DUTP_C9H11N2O14P3
Uracil
L-Malate
Dephospho-CoA
Alpha-D-Ribose_1-phosphate
Iminoaspartate
Phosphatidylglycerol_phosphate_Hp_specific
Pimeloyl-CoA
4-Aminobutanoate
Hypoxanthine
ADP-L-glycero-D-manno-heptose
Succinate
Ferricytochrome_c-553
Formamide
"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
L-Leucine
Uridine
UDP-N-acetyl-D-glucosamine
L-Lactate
8-Amino-7-oxononanoate
Glycolaldehyde
UDP_C9H11N2O12P2
Nicotinamide_adenine_dinucleotide
L-Glutamine
L-Glutamate
Agmatine
S-Adenosylmethioninamine
IMP_C10H11N4O8P
S-Adenosyl-L-methionine
N-Acetyl-D-glucosamine_1-phosphate
CDPethanolamine_C11H19N4O11P2
5-Methylthio-5-deoxy-D-ribose_1-phosphate
Shikimate
UDPglucose
Adenosine_5'-phosphosulfate
"4,5-dihydroxy-2,3-pentanedione"
Nickel
Acetoacetate
5-Methylthio-5-deoxy-D-ribulose_1-phosphate
"3,4-dihydroxy-2-butanone_4-phosphate"
"2,3-diketo-5-methylthio-1-phosphopentane"
Cytidine
Deoxycytidine
L-Glutamyl-tRNA(Glu)
5-Amino-6-(5'-phosphoribitylamino)uracil
2-Octaprenylphenol
N-Acetyl-D-muramoate
S-Adenosyl-L-homocysteine
"2-C-methyl-D-erythritol_2,4-cyclodiphosphate"
2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate
Reduced_ferredoxin
Orotate_C5H3N2O4
L-Tryptophan
5-Phospho-beta-D-ribosylamine
N-Succinyl-2-L-amino-6-oxoheptanedioate
6-Phospho-D-gluconate
5-O-(1-Carboxyvinyl)-3-phosphoshikimate
Acetyl_phosphate
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
Flavin_adenine_dinucleotide_oxidized
1-deoxy-D-xylulose_5-phosphate
Spermidine
L-Arginine
Acetamide
D-Alanine
Uracil
Guanosine
Isocitrate
ADP-D-glycero-D-manno-heptose
Hydrogen
CDP-Diacylglycerol_Hp_specific
UDPgalactose
Carbonic_acid
Succinate
FMN_C17H19N4O9P
Geranyl_diphosphate
D-Fructose_6-phosphate
Porphobilinogen
L-Proline
Glycerol_3-phosphate
Phenylpyruvate
Phenylacetic_acid
TRNA_(Glu)
2-Dehydro-3-deoxy-D-gluconate_6-phosphate
Deoxyadenosine
Ethanol
