Source,Target,Type
Lipoamide_ChHhhNOSh_c,rx_31,Directed
_hcMethylchcoxopentanoate_c,rx_31,Directed
rx_31,ScdhcMethylbutanoylecdihydrolipoamide_c,Directed
rx_31,COh_COh_c_sink,Directed
Nicotinamide_e,rx_32,Directed
rx_32,Nicotinamide_c,Directed
AlphacDcRibose_hcphosphate_c,rx_33,Directed
rx_33,DcRibulose_hcphosphate_c,Directed
HhO_HhO_c,rx_34,Directed
IMP_ChhHhhNhOhP_c,rx_34,Directed
rx_34,_hcFormamidochcdhcphosphocDcribosyleimidazolechccarboxamide_c,Directed
HhO_HhO_c,rx_35,Directed
DcGlucosamine_hcphosphate_c,rx_35,Directed
rx_35,Ammonium_c,Directed
rx_35,DcFructose_hcphosphate_c,Directed
CTP_ChHhhNhOhhPh_c,rx_36,Directed
_R__Mevalonate_ChHhhOh_c,rx_36,Directed
rx_36,Hf_c,Directed
rx_36,CDP_ChHhhNhOhhPh_c,Directed
rx_36,_R__h_Phosphomevalonate_ChHhhOhP_c,Directed
Potassium_e,rx_37,Directed
Hf_e,rx_37,Directed
rx_37,Hf_c,Directed
rx_37,Potassium_c,Directed
Hf_c,rx_38,Directed
Nicotinamide_adenine_dinucleotide_c_reduced_c,rx_38,Directed
TranscHexchcenoylcCoA_c,rx_38,Directed
rx_38,HexanoylcCoA_dncChjhCoAe_c,Directed
rx_38,Nicotinamide_adenine_dinucleotide_c,Directed
DcTagatose_hghcbiphosphate_c,rx_39,Directed
rx_39,Dihydroxyacetone_phosphate_c,Directed
rx_39,Glyceraldehyde_hcphosphate_c,Directed
HhO_HhO_c,rx_40,Directed
Potassium_e,rx_40,Directed
ATP_ChhHhhNhOhhPh_c,rx_40,Directed
rx_40,Hf_c,Directed
rx_40,ADP_ChhHhhNhOhhPh_c,Directed
rx_40,Phosphate_c,Directed
rx_40,Potassium_c,Directed
Hf_c,rx_41,Directed
UTP_ChHhhNhOhhPh_c,rx_41,Directed
DcGlucose_hcphosphate_c,rx_41,Directed
rx_41,Diphosphate_c,Directed
rx_41,UDPglucose_c,Directed
Phosphate_e,rx_42,Directed
HhO_HhO_c,rx_43,Directed
