"[2, 3, 3, 3, 7, 3]"
"[12, 12, 15, 15, 126, 123]"
"[80141, 45407, 4081, 28709, 96992, 54015]"
"[7888, 168390, 41786, 15839, 4576]"
"[60, 60]"
"[84472, 21015, 8028, 2121, 115, 3987]"
"[3956, 20926, 84236, 20981, 134, 1701]"
"[21009, 121, 21009, 21007, 138, 1713]"
"[1727, 21043, 138, 21043, 126, 1727]"
"[115, 21393, 84270, 14, 124]"
"[1, 1, 1, 1, 3966, 84255, 20977, 3868, 85]"
"[4098, 134, 1895]"
"[21000, 84268, 3972, 1723]"
"[3948, 84470, 20885, 3824, 1705]"
