CC1=NC=C(C(=N1)N)COP(=O)(O)O
C1=CC=C(C=C1)C[C@@H](C(=O)O)N
C(CCN)C[C@@H](C(=O)O)N 
C([C@H](C(=O)O)OP(=O)(O)O)O
C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
C(CCC(=O)O)CCC(=O)O 
CC(C)[C@@H](C(=O)O)N
CC(C)[C@@](O)(CC(=O)O)C(=O)[O
C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O
CCCCCCCCCCCCCCCC(=O)O
C[C@H](C(=O)N[C@H](C)C(=O)O)N
R
C(C(C(=O)O)O)C(=O)O
R
R
R
R
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
CCO
C([C@@H](C(=O)O)N)C(=O)O
C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OP(=O)(O)O)O)O
CN[C@H]1[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12
R
[Na+]
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
[H+]
R
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O
CCOC(=O)C(C)C(=O)O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
R
C[C@H](C(=O)O)N
CC(C)C[C@@H](C(=O)O)N
R
R
C=CC1=C(C)/C2=C/c3c(C(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(C)c4n3n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C=O)=C3CCC(=O)O)=C\C1=N2
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(=O)O
Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C(CCN)C[C@@H](C(=O)O)N 
C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)NC(=O)CCC(=O)O
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
C(C(=O)O)O
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
R
CC(=O)N[C@@H](CCC[NH3+])C(=O)O
O=C(O)CCC(=O)c1ccccc1C(=O)O
C(=O)(O)O
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O 
C(C[C@@H](C(=O)O)N)CN
[NH3+]CCCCC[NH3+]
R
[NH4+]
R
C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
CC(C)C(=O)SCCC(CCCCC(=O)N)S
CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C
C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
R
C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O
CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
R
CC(C)C(C(=O)O)C(O)C(=O)O
O=C(O)c1ccccc1N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1[NH3+])C(=O)O
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O 
C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
R
