CC1=NC=C(C(=N1)N)COP(=O)([O-])[O-]
C1=CC=C(C=C1)CC(C(=O)O)N
C(CCN)CC(C(=O)O)N
C(C(C(=O)[O-])OP(=O)([O-])[O-])O
C[C@](O)(CO)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(CC(=O)[O-])C(=O)[O-]
C(CCC(=O)[O-])CCC(=O)[O-]
CC(C)C(C(=O)O)N
CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
C1=CC(C=CC1O)(CC(=O)C(=O)[O-])C(=O)[O-]
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]
CCCCCCCCCCCCCCCC(=O)[O-]
CC(C(=O)NC(C)C(=O)O)N
R
C(C(C(=O)[O-])O)C(=O)[O-]
R
R
R
R
C(C1C(C(C(C(O1)O)O)O)O)O
CCO
C(C(C(=O)[O-])N)C(=O)O
O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1
CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
R
[Na+]
C(C1C(C(C(C(O1)O)O)O)O)O
[H+]
R
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])[O-]
CCOC(=O)C(C)C(=O)[O-]
CC(=O)NC1C(C(C(OC1O)CO)O)O
R
CC(C(=O)O)N
CC(C)CC(C(=O)O)N
R
R
C=Cc1c(C)c2cc5[nH]c(cc4nc(cc3[nH]c(cc1n2)c(C)c3CCC(=O)O)c(CCC(=O)O)c4C=O)c(C)c5C(O)CC/C=C(C)/CC/C=C(C)/CC/C=C(C)C
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
CC(=O)[O-]
C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)NC(CC(=O)[O-])C(=O)[O-]
C(CCN)CC(C(=O)O)N
C(CC(C(=O)O)N)CC(C(=O)O)NC(=O)CCC(=O)O
CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)([O-])[O-])O)O)O
C(C(=O)[O-])O
CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCS)O
R
CC(=O)NC(CCCN)C(=O)O
C1=CC=C(C(=C1)C(=O)CCC(=O)[O-])C(=O)[O-]
C(=O)(O)[O-]
C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N
Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
C(C(C(C(C(C(=O)[O-])O)O)O)O)O
C(CC(C(=O)O)N)CN
[NH3+]CCCCC[NH3+]
R
[NH4+]
R
C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
CC(C)C(=O)SCCC(CCCCC(=O)N)S
CC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C
