C6H8N3O4P
C9H11NO2
C6H15N2O2
C3H4O7P
C14H23N3O14P2
C14H14N5O11P
C7H10O4
C5H11NO2
C7H10O5
C10H8O6
C6H11O9P
C16H31O2
C6H12N2O3
C18H40O18
C4H4O5
C1860H3715N100O242P50
C1560H3015O192P50
C55H76CoN15O11
C25H36N8O12
C6H12O6
C2H6O
C4H6NO4
C7H8O8P
C14H24N2O7
C55H68CoN11O15
Na
C6H12O6
H
C2H4NOR
C12H16N4O4PS
C6H9O4
C8H15NO6
XH2
C3H7NO2
C6H13NO2
C25H47N2O9PRS
H2S2X
C49H54FeN4O6
C34H38N4O4
C31H50N7O18P3S
C2H3O2
C13H15N4O12P
C6H15N2O2
C11H16N2O7
C17H21N4O9P
C2H3O3
C21H32N7O16P3S
C1986H3698N50O450P50
C7H14N2O3
C11H8O5
CHO3
C10H12N5O8P
C9H12N3O11P2
C6H11O7
C5H13N2O2
C5H16N2
Cu
H4N
C1860H3615N50O242P50
C20H21N7O7
C12H23NO2S2
C15H25O7P2
C19H21N7O6
Mg
C20H21N7O6
C20H24N7O6
C35H56N7O17P3S
X
C7H10O5
C12H13NO9P
C34H30FeN4O4
C10H10NO5
C12H22O11
C7H9O6
C91H178N2O136P25
C10H12N5O11P2
C42H41N4O16
C5H10NOSR
X
C6H10O12P2
C37H60N7O18P3S
C17H22N4O6
C1710H3315N50O292P50
C25H35N7O19P3S
C9H12N5O13P3
C5H9NO3
C6H4NO2
C16H29O2
NO2
C5H10O5
C14H22N2O10PRS
C5H11NO2
C13H25NO2S2
C4H4O5
C17H25N5O16P2
C11H18NO9
CH3NO
C6H13NO2
C12H21O14P
C15H19N5O14P2
C4H4NO3
C33H52N7O18P3S
C35H58N7O18P3S
C7H9O5
C48H72O3
C10H12N5O10PS
C241H428N2O261P25
C15H21N5O15P2
C4H7O6P
C5H7NO3R
C6H8N3O7P2
C12H22O11
C11H12NO8
C6H10O10P
C6H12O6
C3H7NO2
C17H19N4O9P
C10H17O7P2
C9H7O3
C6H13N3O3
C6H15N4O2
C6H13O9P
C8H13N2O9P
C5H5N5O
C21H26N7O17P3
C5H9O8P
CH2O
C10H11N5O10P2
C51H74O2
C3H7NO3
C5H9O8P
C6H13NO2
C10H15N2O3S
C6H10O5
C4H14N2
C20H20N7O6
C5H8NO4
C10H13N4O9P
C16H29O2
C3H2O6P
C17H25N3O17P2
C8H15NO6
C29H44N7O18P3S
C7H9NO8P
C19H19N7O6
C3H7NO2
NO3
S
C3H8O3
H2O
C6H12O6
C5H10O4
C10H16N3O6S
C12H20N2O9PS
C5H9O7P2
O2
Zn
C3H5O3
C7H8O5
C6H14O6
C12H21O14P
C7H8O2
C4H6NO4
C10H12N5O9P2
C27H42N7O18P3S
C35H56N7O18P3S
C8H12N3O7P
C1660H3215N50O242P50
C30H50
C27H33N9O15P2
C41H61N9O28P2
C4H2O4
C16H21N4O10P2S
HO7P2
C26H40N7O17P3S
C27H42N7O17P3S
C11H15N5O3S
C6H14N4OR
C9H11N2O15P3
C3H7NO2S
C3H5O4
C20H28N3O19P2
C3H8O3
C7H10O10P
C5H11NO2S
C5H12NO
C2160H4165O542
R
C7H22N3
C10H15N2O3S
C5H13N2O2
C7H15NO3
C6H11O9P
C12H22O11
C12H17N4OS
CH1O2
R
C1660H3365N50O192P50
C23H33N4O20P2
O4S
C28H39N5O23P2
C50H70O2
C6H13NO2
C5H4O5
C3H6NOR
C1936H3598N50O450P50
C9H11NO3
CH4N2O
R
C6H9O3
C7H13O10P
C6H9N3O2
C20H27N7O9PS
C40H38N4O17
C12H17N4OS
C16H23N5O15P2
C3H7NO2S
C10H13N5O4
C7H9N5O2
C3H3O4
C3H4O10P2
C37H60N7O17P3S
C31H48N7O18P3S
C6H12O6
C40H36N4O16
C8H14NO9P
C6H12O4S
C7H14N2O4S
X
C9H18N4O4
C4H8NO2R
C13H25NO2S2
C9H12N3O8P
C10H10N2O11P
C6H11O9P
C6H9O9P
C27H39N7O20P3S
C31H48N7O17P3S
C4H5NO3R
H2O
C5H11NO2
C7H6NO2
C8H15NO6
C3270H6330O434P100
C10H12N5O7P
C9H11N3O9P
C10H14N2O5
C9H12N2O5
C95H152N8O28P2
C420H750N30O420P30
R
C35H51N7O26P2
C6H8N2O4
C9H11N2O14P3
H2S
C6H10O12P2
C5H9O8P
C6H14O6
C9H15N2O5
C87H139N7O23P2
C9H12N2O6
C12H22O11
K
Co
C5H10N2O3
C5H16N4
C8H14NO9P
C15H22N2O17P2
C6H11O7PS
C5H14NO
C9H13N3O5
C6H11O9P
C10H11N4O14P3
C25H38N7O17P3S
C5H11NO7P
C2H3O5P
C1936H3748N50O400P50
C10H9NO
C18H33O2
C9H13N4O8P
C2136H4098N100O450P50
C6H13O9P
C3822H7096O850P100
C6H15N4O2
C15H22N2O17P2
C47H70O3
Mn
R
C2H6O
C7H7O5
C4H2O5
C6H5O7Mg
C3H7NO2
C21H27N7O14P2
C9H11NO2
C6H12O6
C3H6NO5P
C5H9O7P
S2X
C6H9NOS
C6H4NO2
R
C9H13N3O5
C10H17N2O3
C7H14N2O4
C7H5NO4
C51H72O2
C7H15NO3
