Source,Target,Type
Dethiobiotin_c,rx_37,Directed
rx_37,Biotin_c,Directed
rx_37,Hf_c,Directed
rx_37,LcAlanine_c,Directed
LcCysteine_c,rx_38,Directed
OcSuccinylcLchomoserine_c,rx_38,Directed
rx_38,Hf_c,Directed
rx_38,LcCystathionine_c,Directed
rx_38,Succinate_c,Directed
Xanthine_e,rx_39,Directed
DcGlucose_hcphosphate_c,rx_40,Directed
Nicotinamide_adenine_dinucleotide_c,rx_40,Directed
rx_40,Hf_c,Directed
rx_40,_hcphosphocDcgluconochghclactone_c,Directed
rx_40,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_41,Directed
LcCitrulline_c,rx_41,Directed
LcAspartate_c,rx_41,Directed
rx_41,Diphosphate_c,Directed
rx_41,NdomegaecdLcArgininoesuccinate_c,Directed
rx_41,Hf_c,Directed
rx_41,AMP_ChhHhhNhOhP_c,Directed
_hcPhosphocDcgluconate_c,rx_42,Directed
rx_42,_hcDehydrochcdeoxycDcgluconate_hcphosphate_c,Directed
rx_42,HhO_HhO_c,Directed
dSecDihydroorotate_c,rx_43,Directed
HhO_HhO_c,rx_43,Directed
rx_43,Hf_c,Directed
rx_43,NcCarbamoylcLcaspartate_c,Directed
_hcdhcCarboxyphenylaminoechcdeoxycDcribulose_hcphosphate_c,rx_44,Directed
Hf_c,rx_44,Directed
rx_44,CicdhcIndolylecglycerol_hcphosphate_c,Directed
rx_44,HhO_HhO_c,Directed
rx_44,COh_COh_c_sink,Directed
OcPhosphocLchomoserine_c,rx_45,Directed
HhO_HhO_c,rx_45,Directed
rx_45,Phosphate_c,Directed
rx_45,LcThreonine_c,Directed
LcGlutamate_e,rx_46,Directed
LcCysteine_e,rx_47,Directed
Hf_c,rx_48,Directed
PimeloylcCoA_c,rx_48,Directed
LcAlanine_c,rx_48,Directed
rx_48,Coenzyme_A_c,Directed
rx_48,_hcAminochcoxononanoate_c,Directed
rx_48,COh_COh_c_sink,Directed
_hcOcdhcCarboxyvinylechcphosphoshikimate_c,rx_49,Directed
rx_49,Phosphate_c,Directed
rx_49,Chorismate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_50,Directed
LcAspartate_c,rx_50,Directed
rx_50,Hf_c,Directed
rx_50,Iminoaspartate_c,Directed
rx_50,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
Acetate_e,rx_51,Directed
Hf_e,rx_52,Directed
Succinate_e,rx_52,Directed
rx_52,Hf_c,Directed
rx_52,Succinate_c,Directed
_hcDeoxycDcmannochcoctulosonate_c,rx_53,Directed
CTP_ChHhhNhOhhPh_c,rx_53,Directed
rx_53,Diphosphate_c,Directed
rx_53,CMPchcdeoxycDcmannococtulosonate_c,Directed
AcetylcCoA_c,rx_54,Directed
LcSerine_c,rx_54,Directed
rx_54,Coenzyme_A_c,Directed
rx_54,OcAcetylcLcserine_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_55,Directed
Coenzyme_A_c,rx_55,Directed
OcSuccinylbenzoate_c,rx_55,Directed
rx_55,Diphosphate_c,Directed
rx_55,OcSuccinylbenzoylcCoA_c,Directed
rx_55,AMP_ChhHhhNhOhP_c,Directed
Sodium_e,rx_56,Directed
LcProline_e,rx_56,Directed
rx_56,Sodium_c,Directed
rx_56,LcProline_c,Directed
Nitrate_e,rx_57,Directed
LcLeucine_c,rx_58,Directed
_hcOxoglutarate_c,rx_58,Directed
rx_58,_hcMethylchcoxopentanoate_c,Directed
rx_58,LcGlutamate_c,Directed
Ammonium_e,rx_59,Directed
rx_59,Ammonium_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_60,Directed
LcCysteine_e,rx_60,Directed
HhO_HhO_c,rx_60,Directed
rx_60,LcCysteine_c,Directed
rx_60,Hf_c,Directed
rx_60,ADP_ChhHhhNhOhhPh_c,Directed
rx_60,Phosphate_c,Directed
LcGlutamate_hcsemialdehyde_c,rx_61,Directed
rx_61,_hcAminochcoxopentanoate_c,Directed
LcGlutamine_c,rx_62,Directed
DcFructose_hcphosphate_c,rx_62,Directed
rx_62,DcGlucosamine_hcphosphate_c,Directed
rx_62,LcGlutamate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_63,Directed
dRecPantothenate_c,rx_63,Directed
rx_63,Hf_c,Directed
rx_63,DchicPhosphopantothenate_c,Directed
rx_63,ADP_ChhHhhNhOhhPh_c,Directed
_hcPyrrolinechccarboxylate_c,rx_64,Directed
Nicotinamide_adenine_dinucleotide_c,rx_64,Directed
HhO_HhO_c,rx_64,Directed
rx_64,Hf_c,Directed
rx_64,LcGlutamate_c,Directed
rx_64,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
AcetylcCoA_c,rx_65,Directed
rx_65,Coenzyme_A_c,Directed
rx_65,AcetoacetylcCoA_c,Directed
Formate_e,rx_66,Directed
rx_66,Formate_c,Directed
Formamide_c,rx_67,Directed
HhO_HhO_c,rx_67,Directed
rx_67,Formate_c,Directed
rx_67,Ammonium_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_68,Directed
_hcPhosphocDcgluconate_c,rx_68,Directed
rx_68,DcRibulose_hcphosphate_c,Directed
rx_68,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_68,COh_COh_c_sink,Directed
ATP_ChhHhhNhOhhPh_c,rx_69,Directed
AlphacDcRibose_hcphosphate_c,rx_69,Directed
rx_69,_hcPhosphocalphacDcribose_hcdiphosphate_c,Directed
rx_69,Hf_c,Directed
rx_69,AMP_ChhHhhNhOhP_c,Directed
Hf_c,rx_70,Directed
dSechcAcetochchydroxybutanoate_c,rx_70,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_70,Directed
rx_70,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_70,dRechghcDihydroxychcmethylpentanoate_c,Directed
Agmatine_c,rx_71,Directed
HhO_HhO_c,rx_71,Directed
rx_71,Urea_CHhNhO_c,Directed
rx_71,Putrescine_c,Directed
dSecDihydroorotate_c,rx_72,Directed
Menaquinone_h_c,rx_72,Directed
rx_72,Orotate_ChHhNhOh_c,Directed
rx_72,Menaquinol_h_c,Directed
_hghhcMethenyltetrahydrofolate_c,rx_73,Directed
HhO_HhO_c,rx_73,Directed
rx_73,Hf_c,Directed
rx_73,_hhcFormyltetrahydrofolate_c,Directed
Hf_c,rx_74,Directed
CTP_ChHhhNhOhhPh_c,rx_74,Directed
_hcCcmethylcDcerythritol_hcphosphate_c,rx_74,Directed
rx_74,_hcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,Directed
rx_74,Diphosphate_c,Directed
UDPglucose_c,rx_75,Directed
rx_75,UDPgalactose_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_76,Directed
DTDP_ChhHhhNhOhhPh_c,rx_76,Directed
rx_76,DTTP_ChhHhhNhOhhPh_c,Directed
rx_76,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_77,Directed
Superoxide_anion_c,rx_77,Directed
rx_77,Oh_Oh_c,Directed
rx_77,Hydrogen_peroxide_c,Directed
_hcAminochchydroxychcderythrochghghctrihydroxypropyledihydropteridine_triphosphate_c,rx_78,Directed
HhO_HhO_c,rx_78,Directed
rx_78,Diphosphate_c,Directed
rx_78,Dihydroneopterin_monophosphate_c,Directed
rx_78,Hf_c,Directed
DcGlucose_e,rx_79,Directed
Hf_e,rx_79,Directed
rx_79,DcGlucose_c,Directed
rx_79,Hf_c,Directed
Hf_c,rx_80,Directed
Menaquinone_h_c,rx_80,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_80,Directed
rx_80,Menaquinol_h_c,Directed
rx_80,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Hf_c,rx_81,Directed
Orotidine_hicphosphate_c,rx_81,Directed
rx_81,UMP_ChHhhNhOhP_c,Directed
rx_81,COh_COh_c_sink,Directed
Menaquinone_h_c,rx_82,Directed
DcLactate_c,rx_82,Directed
rx_82,Pyruvate_c,Directed
rx_82,Menaquinol_h_c,Directed
Undecaprenyl_diphosphate_c,rx_83,Directed
HhO_HhO_c,rx_83,Directed
rx_83,Hf_c,Directed
rx_83,Phosphate_c,Directed
rx_83,Undecaprenyl_phosphate_c,Directed
DcGlycerate_hcphosphate_c,rx_84,Directed
rx_84,_hcPhosphocDcglycerate_c,Directed
Diphosphate_c,rx_85,Directed
HhO_HhO_c,rx_85,Directed
rx_85,Hf_c,Directed
rx_85,Phosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_86,Directed
Glycerol_c,rx_86,Directed
rx_86,Hf_c,Directed
rx_86,Glycerol_hcphosphate_c,Directed
rx_86,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_87,Directed
DCTP_ChHhhNhOhhPh_c,rx_87,Directed
HhO_HhO_c,rx_87,Directed
rx_87,Ammonium_c,Directed
rx_87,DUTP_ChHhhNhOhhPh_c,Directed
HhO_HhO_c,rx_88,Directed
COh_COh_c_source,rx_88,Directed
rx_88,Hf_c,Directed
rx_88,Bicarbonate_c,Directed
AlphacDcRibose_hcphosphate_c,rx_89,Directed
rx_89,DcRibulose_hcphosphate_c,Directed
DcGlucose_hcphosphate_c,rx_90,Directed
rx_90,DcFructose_hcphosphate_c,Directed
Ornithine_c,rx_91,Directed
_hcOxoglutarate_c,rx_91,Directed
rx_91,LcGlutamate_hcsemialdehyde_c,Directed
rx_91,LcGlutamate_c,Directed
Deoxyuridine_e,rx_92,Directed
Hf_e,rx_92,Directed
rx_92,Hf_c,Directed
rx_92,Deoxyuridine_c,Directed
Deoxyadenosine_e,rx_93,Directed
IMP_ChhHhhNhOhP_c,rx_94,Directed
HhO_HhO_c,rx_94,Directed
rx_94,_hcFormamidochcdhcphosphocDcribosyleimidazolechccarboxamide_c,Directed
Riboflavin_ChhHhhNhOh_c,rx_95,Directed
ATP_ChhHhhNhOhhPh_c,rx_95,Directed
rx_95,Hf_c,Directed
rx_95,FMN_ChhHhhNhOhP_c,Directed
rx_95,ADP_ChhHhhNhOhhPh_c,Directed
_hcDehydroquinate_c,rx_96,Directed
rx_96,_hcDehydroshikimate_c,Directed
rx_96,HhO_HhO_c,Directed
Adenosine_e,rx_97,Directed
Hf_e,rx_97,Directed
rx_97,Hf_c,Directed
rx_97,Adenosine_c,Directed
Nitric_oxide_e,rx_98,Directed
Hf_c,rx_99,Directed
ATP_ChhHhhNhOhhPh_c,rx_99,Directed
Nicotinate_Dcribonucleotide_c,rx_99,Directed
rx_99,Diphosphate_c,Directed
rx_99,DeaminocNADf_c,Directed
_hcMethylchcoxobutanoate_c,rx_100,Directed
_hghhcMethylenetetrahydrofolate_c,rx_100,Directed
HhO_HhO_c,rx_100,Directed
rx_100,_hcDehydropantoate_c,Directed
rx_100,_hghghghcTetrahydrofolate_c,Directed
Hf_c,rx_101,Directed
LcAspartate_c,rx_101,Directed
rx_101,BetacAlanine_c,Directed
rx_101,COh_COh_c_sink,Directed
_hcAminochcdhicphosphoribitylaminoeuracil_c,rx_102,Directed
HhO_HhO_c,rx_102,Directed
rx_102,_hcdhcDcRibitylaminoechcaminouracil_c,Directed
rx_102,Phosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_103,Directed
DUMP_ChHhhNhOhP_c,rx_103,Directed
rx_103,ADP_ChhHhhNhOhhPh_c,Directed
rx_103,DUDP_ChHhhNhOhhPh_c,Directed
Hf_c,rx_104,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_104,Directed
