Source,Target,Type
rx_44,dGDPacb,Directed
rx_44,HhOacb,Directed
rx_44,oxidized_thioredoxinacb,Directed
CDPacb,rx_45,Directed
thioredoxinacb,rx_45,Directed
rx_45,dCDPacb,Directed
rx_45,HhOacb,Directed
rx_45,oxidized_thioredoxinacb,Directed
thioredoxinacb,rx_46,Directed
UDPacb,rx_46,Directed
rx_46,dUDPacb,Directed
rx_46,HhOacb,Directed
rx_46,oxidized_thioredoxinacb,Directed
_hcphosphoribosylamineacb,rx_47,Directed
ATPacb,rx_47,Directed
glycineacb,rx_47,Directed
rx_47,ADPacb,Directed
rx_47,GARacb,Directed
rx_47,Piacb,Directed
_hcphosphoribosylformylglycinamidineacb,rx_48,Directed
ATPacb,rx_48,Directed
rx_48,ADPacb,Directed
rx_48,AIRacb,Directed
rx_48,Piacb,Directed
AIRacb,rx_49,Directed
COhacb,rx_49,Directed
rx_49,_hcphosphoribosylchccarboxychcaminoimidazoleacb,Directed
ATPacb,rx_50,Directed
glutamineacb,rx_50,Directed
HhOacb,rx_50,Directed
NcformylcGARacb,rx_50,Directed
rx_50,_hcphosphoribosylformylglycinamidineacb,Directed
rx_50,ADPacb,Directed
rx_50,glutamateacb,Directed
rx_50,Piacb,Directed
_hcphosphoribosylchccarboxychcaminoimidazoleacb,rx_51,Directed
aspartateacb,rx_51,Directed
ATPacb,rx_51,Directed
rx_51,ADPacb,Directed
rx_51,Piacb,Directed
rx_51,SAICARacb,Directed
SAICARacb,rx_52,Directed
rx_52,AICARacb,Directed
rx_52,fumarateacb,Directed
_hhcformylcTHFacb,rx_53,Directed
AICARacb,rx_53,Directed
rx_53,FAICARacb,Directed
rx_53,THFacb,Directed
ADPacb,rx_54,Directed
dGDPacb,rx_54,Directed
rx_54,ATPacb,Directed
rx_54,dGMPacb,Directed
alloxanacb,rx_55,Directed
ureaacb,rx_55,Directed
rx_55,HhOhacb,Directed
rx_55,urateacb,Directed
HhOhasb,rx_56,Directed
urateasb,rx_56,Directed
rx_56,alloxanasb,Directed
rx_56,ureaasb,Directed
ATPacb,rx_57,Directed
UDPacb,rx_57,Directed
rx_57,ADPacb,Directed
rx_57,UTPacb,Directed
ATPacb,rx_58,Directed
CDPacb,rx_58,Directed
rx_58,ADPacb,Directed
rx_58,CTPacb,Directed
ATPacb,rx_59,Directed
UMPacb,rx_59,Directed
rx_59,ADPacb,Directed
rx_59,UDPacb,Directed
ATPacb,rx_60,Directed
glutamineacb,rx_60,Directed
Hfacb,rx_60,Directed
HhOacb,rx_60,Directed
HCOhcacb,rx_60,Directed
rx_60,ADPacb,Directed
rx_60,carbamoylcphosphateacb,Directed
rx_60,glutamateacb,Directed
rx_60,Piacb,Directed
orotidinechcphosphateacb,rx_61,Directed
rx_61,COhacb,Directed
rx_61,UMPacb,Directed
aspartateacb,rx_62,Directed
carbamoylcphosphateacb,rx_62,Directed
rx_62,NccarbamoylcLcaspartateacb,Directed
rx_62,Piacb,Directed
ATPacb,rx_63,Directed
glutamineacb,rx_63,Directed
HhOacb,rx_63,Directed
UTPacb,rx_63,Directed
rx_63,ADPacb,Directed
rx_63,CTPacb,Directed
rx_63,glutamateacb,Directed
rx_63,Piacb,Directed
orotateacb,rx_64,Directed
PRPPacb,rx_64,Directed
rx_64,orotidinechcphosphateacb,Directed
rx_64,PPiacb,Directed
NccarbamoylcLcaspartateacb,rx_65,Directed
rx_65,dSecdihydroorotateacb,Directed
rx_65,HhOacb,Directed
dSecdihydroorotateacb,rx_66,Directed
ubiquinoneamb,rx_66,Directed
rx_66,orotateacb,Directed
rx_66,ubiquinolamb,Directed
_hghhcmethylenecTHFacb,rx_67,Directed
dUMPacb,rx_67,Directed
rx_67,dihydrofolateacb,Directed
rx_67,dTMPacb,Directed
thioredoxinamb,rx_68,Directed
UTPamb,rx_68,Directed
rx_68,dUTPamb,Directed
rx_68,HhOamb,Directed
rx_68,oxidized_thioredoxinamb,Directed
ADPacb,rx_69,Directed
dUDPacb,rx_69,Directed
rx_69,ATPacb,Directed
rx_69,dUMPacb,Directed
ATPacb,rx_70,Directed
CMPacb,rx_70,Directed
rx_70,ADPacb,Directed
rx_70,CDPacb,Directed
ATPacb,rx_71,Directed
sulfateacb,rx_71,Directed
rx_71,adenylyl_sulfateacb,Directed
rx_71,PPiacb,Directed
adenylyl_sulfateacb,rx_72,Directed
ATPacb,rx_72,Directed
rx_72,ADPacb,Directed
rx_72,PAPSacb,Directed
_hhcformylcTHFacb,rx_73,Directed
GARacb,rx_73,Directed
rx_73,NcformylcGARacb,Directed
rx_73,THFacb,Directed
dCDPacb,rx_74,Directed
UDPacb,rx_74,Directed
rx_74,dCMPacb,Directed
rx_74,UTPacb,Directed
Hfamb,rx_75,Directed
NADPHamb,rx_75,Directed
oxidized_thioredoxinamb,rx_75,Directed
rx_75,NADPfamb,Directed
rx_75,thioredoxinamb,Directed
HhOagb,rx_76,Directed
UDPagb,rx_76,Directed
rx_76,Piagb,Directed
rx_76,UMPagb,Directed
AKGamb,rx_77,Directed
Hfamb,rx_77,Directed
NADPHamb,rx_77,Directed
NHhamb,rx_77,Directed
rx_77,glutamateamb,Directed
rx_77,HhOamb,Directed
rx_77,NADPfamb,Directed
glutamateamb,rx_78,Directed
OAAamb,rx_78,Directed
rx_78,AKGamb,Directed
rx_78,aspartateamb,Directed
AKGacb,rx_79,Directed
aspartateacb,rx_79,Directed
rx_79,glutamateacb,Directed
rx_79,OAAacb,Directed
glutamineamb,rx_80,Directed
HhOamb,rx_80,Directed
rx_80,glutamateamb,Directed
rx_80,NHhamb,Directed
aspartateacb,rx_81,Directed
ATPacb,rx_81,Directed
glutamineacb,rx_81,Directed
HhOacb,rx_81,Directed
rx_81,AMPacb,Directed
rx_81,asparagineacb,Directed
rx_81,glutamateacb,Directed
rx_81,PPiacb,Directed
glutamateamb,rx_82,Directed
pyruvateamb,rx_82,Directed
rx_82,AKGamb,Directed
rx_82,alanineamb,Directed
AKGamb,rx_83,Directed
ornithineamb,rx_83,Directed
rx_83,glutamateamb,Directed
rx_83,Lcglutamate_hcsemialdehydeamb,Directed
Lcglutamate_hcsemialdehydeamb,rx_84,Directed
rx_84,_hcpyrrolinechccarboxylateamb,Directed
rx_84,HhOamb,Directed
_hcpyrrolinechccarboxylateamb,rx_85,Directed
ubiquinolamb,rx_85,Directed
rx_85,prolineamb,Directed
rx_85,ubiquinoneamb,Directed
ATPamb,rx_86,Directed
glutamateamb,rx_86,Directed
rx_86,ADPamb,Directed
rx_86,glutamylchcphosphateamb,Directed
