O=C([O-])/C=C/C(=O)[O-]>>
O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-].O>>O=C([O-])CC(C(=O)O)C(O)C(=O)[O-]
O=C(CO)COP(=O)(O)O>>O=C[C@H](O)COP(=O)(O)O
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS.O=C([O-])CCC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O
[NH3+]C(CCC(=O)[O-])C(=O)[O-].[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.NC(=O)CC[C@H](N)C(=O)O.[H]
O=P([O-])([O-])O>>
C=C(OP(=O)(O)O)C(=O)O.O=C=O.O>>O=C(O)CC(=O)C(=O)O.O=P([O-])([O-])O.[H]
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O.[H]
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O.O=C[C@H](O)COP(=O)(O)O>>O=C[C@H](O)[C@H](O)COP(=O)(O)O.O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)CC(=O)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.C=C(OP(=O)(O)O)C(=O)O.O=C=O
C[C@@H](O)C(=O)O>>
