from,to,substance,quantity
ID281,ID282,EFM 1,95.03598813297019
ID282,ID320,EFM 1,95.03598813297019
ID320,ID137,EFM 1,95.03598813297019
ID137,ID136,EFM 1,95.03598813297019
ID136,ID319,EFM 1,95.03598813297019
ID319,ID281,EFM 1,95.03598813297019
ID281,ID282,EFM 2,82.08449514089918
ID282,ID320,EFM 2,82.08449514089918
ID320,ID154,EFM 2,82.08449514089918
ID154,ID153,EFM 2,82.08449514089918
ID153,ID319,EFM 2,82.08449514089918
ID319,ID281,EFM 2,82.08449514089918
ID214,ID215,EFM 3,73.07798877271968
ID215,ID125,EFM 3,73.07798877271968
ID125,ID124,EFM 3,73.07798877271968
ID124,ID214,EFM 3,73.07798877271968
ID214,ID215,EFM 4,48.56112282771928
ID215,ID125,EFM 4,48.56112282771928
ID125,ID390,EFM 4,48.56112282771928
ID390,ID389,EFM 4,48.56112282771928
ID389,ID200,EFM 4,48.56112282771928
ID200,ID282,EFM 4,48.56112282771928
ID282,ID320,EFM 4,48.56112282771928
ID320,ID154,EFM 4,48.56112282771928
ID154,ID153,EFM 4,48.56112282771928
ID153,ID262,EFM 4,48.56112282771928
ID262,ID124,EFM 4,48.56112282771928
ID124,ID214,EFM 4,48.56112282771928
ID281,ID282,EFM 5,36.396198953756176
ID282,ID281,EFM 5,36.396198953756176
