GEM,Metabolites,Reactions,Source_Metabolites,Source_Carbons,Source_Nitrogens,Sink_Metabolites,Sink_Carbons,Sink_Nitrogens,CHMC_State_Space_Carbon,CHMC_Transitions_Carbon,CHMC_State_Space_Nitrogen,CHMC_Transitions_Nitrogen,EFMs_Carbon,EFMs_Nitrogen
E. coli core,71,144,30,184,30,42,255,40,14659,24355,246,448,6519,204
iAB RBC 283,274,465,94,954,161,126,1166,214,37122,51220,6409,9275,7958,2091
iIT341,433,759,154,1486,314,206,2134,447,86342,120545,27440,39761,30633,10440
iSB619,547,974,198,2188,353,257,2986,516,169877,246712,36661,54165,59444,14214
HepG2,435,545,40,376,72,108,939,190,9092000,11615891,19137,27860,1377937,5105
