Source,Target,Weight,NumberEFMs
adenylosuccinate[c],fumarate[c],4.833687189000164,4
saccharopine[m],glutamate[m],4.629176441335071,4
AKG[m],saccharopine[m],4.629176441335071,4
aspartate[c],N-carbamoyl-L-aspartate[c],1.4878473910335037,2
N-carbamoyl-L-aspartate[c],(S)-dihydroorotate[c],1.4878473910335037,2
(S)-dihydroorotate[c],orotate[c],1.4878473910335037,2
orotate[c],orotidine-5-phosphate[c],1.4878473910335037,2
orotidine-5-phosphate[c],CO2[c],1.4878473910335037,2
aspartate[c],SAICAR[c],5.33555698975794,5
SAICAR[c],fumarate[c],5.33555698975794,5
isocitrate[c],AKG[c],120.18591608450255,46
palmitate[c],Sink,5.895297265291352,14
HCO3-[c],malonyl-CoA[c],6.103199303004085,15
malonyl-CoA[c],malonyl-[ACP][c],9.477766568342942,17
malonyl-[ACP][c],3-oxohexadecanoyl-[ACP][c],0.8421853236130521,2
3-oxohexadecanoyl-[ACP][c],(R)-3-hydroxypalmitoyl-[ACP][c],5.895297265291352,14
(R)-3-hydroxypalmitoyl-[ACP][c],(2E)-hexadecenoyl-[ACP][c],5.895297265291352,14
(2E)-hexadecenoyl-[ACP][c],hexadecanoyl-[ACP][c],5.895297265291352,14
hexadecanoyl-[ACP][c],palmitate[c],5.895297265291352,14
malonyl-[ACP][c],3-oxodecanoyl-[ACP][c],0.8421853236130501,2
3-oxodecanoyl-[ACP][c],(R)-3-hydroxydecanoyl-[ACP][c],3.3687412944522004,8
(R)-3-hydroxydecanoyl-[ACP][c],(2E)-decenoyl-[ACP][c],3.3687412944522004,8
(2E)-decenoyl-[ACP][c],decanoyl-[ACP][c],3.3687412944522004,8
decanoyl-[ACP][c],3-oxododecanoyl-[ACP][c],3.3687412944522004,8
3-oxododecanoyl-[ACP][c],D-3-hydroxydodecanoyl-[ACP][c],4.21092661806525,10
D-3-hydroxydodecanoyl-[ACP][c],(2E)-dodecenoyl-[ACP][c],4.21092661806525,10
(2E)-dodecenoyl-[ACP][c],dodecanoyl-[ACP][c],4.21092661806525,10
dodecanoyl-[ACP][c],3-oxotetradecanoyl-[ACP][c],4.21092661806525,10
3-oxotetradecanoyl-[ACP][c],HMA[c],5.0531119416783,12
HMA[c],(2E)-tetradecenoyl-[ACP][c],5.0531119416783,12
(2E)-tetradecenoyl-[ACP][c],tetradecanoyl-[ACP][c],5.0531119416783,12
tetradecanoyl-[ACP][c],3-oxohexadecanoyl-[ACP][c],5.0531119416783,12
malonyl-[ACP][c],3-oxohexanoyl-[ACP][c],0.8421853236130501,2
3-oxohexanoyl-[ACP][c],D-3-hydroxyhexanoyl-[ACP][c],1.6843706472261002,4
D-3-hydroxyhexanoyl-[ACP][c],(2E)-hexenoyl-[ACP][c],1.6843706472261002,4
(2E)-hexenoyl-[ACP][c],hexanoyl-[ACP][c],1.6843706472261002,4
hexanoyl-[ACP][c],3-oxooctanoyl-[ACP][c],1.6843706472261002,4
3-oxooctanoyl-[ACP][c],(R)-3-hydroxyoctanoyl-[ACP][c],2.52655597083915,6
(R)-3-hydroxyoctanoyl-[ACP][c],(2E)-octenoyl-[ACP][c],2.52655597083915,6
(2E)-octenoyl-[ACP][c],octanoyl-[ACP][c],2.52655597083915,6
octanoyl-[ACP][c],3-oxodecanoyl-[ACP][c],2.52655597083915,6
malonyl-[ACP][c],3-oxooctanoyl-[ACP][c],0.8421853236130501,2
malonyl-[ACP][c],3-oxotetradecanoyl-[ACP][c],0.8421853236130501,2
malonyl-[ACP][c],acetoacetyl-[ACP][c],0.8421853236130501,2
acetoacetyl-[ACP][c],(R)-3-hydroxybutanoyl-[ACP][c],0.8421853236130501,2
(R)-3-hydroxybutanoyl-[ACP][c],but-2-enoyl-[ACP][c],0.8421853236130501,2
but-2-enoyl-[ACP][c],butyryl-[ACP][c],0.8421853236130501,2
butyryl-[ACP][c],3-oxohexanoyl-[ACP][c],0.8421853236130501,2
malonyl-[ACP][c],3-oxododecanoyl-[ACP][c],0.8421853236130501,2
alanine[s],Sink,18.00115483887341,4
glutamate[m],alanine[m],43.615440747805394,21
alanine[m],alanine[c],25.93801317569282,8
alanine[c],alanine[s],18.00115483887341,4
alanine[c],Sink,7.93685833681941,4
alanine[m],pyruvate[m],17.677427572112574,13
pyruvate[m],acetyl-CoA[m],4.192977045843588,3
acetyl-CoA[m],citrate[m],4.44201509137513,4
citrate[c],acetyl-CoA[c],3.3745672653388548,2
acetyl-CoA[c],malonyl-CoA[c],3.3745672653388548,2
malonyl-[ACP][c],CO2[c],3.3745672653388548,2
malate[c],CO2[c],3.4936181700596705,2
pyruvate[m],AKG[m],4.556587691195622,6
AKG[m],CO2[m],36.32011521637833,17
CO2[m],CO2[c],44.60854475750472,19
pyruvate[m],CO2[m],8.92786283507336,4
CO2[m],HCO3-[m],0.6394332939469765,2
HCO3-[m],methylmalonyl-CoA[m],0.3903952484154346,1
methylmalonyl-CoA[m],(R)-methylmalonyl-CoA[m],0.3903952484154346,1
(R)-methylmalonyl-CoA[m],succinyl-CoA[m],0.3903952484154346,1
HCO3-[m],3-methylglutaconyl-CoA[m],0.2490380455315418,1
3-methylglutaconyl-CoA[m],HMG-CoA[m],0.2490380455315418,1
HMG-CoA[m],acetoacetate[m],0.2490380455315418,1
acetoacetate[m],acetoacetyl-CoA[m],0.2490380455315418,1
acetoacetyl-CoA[m],acetyl-CoA[m],0.2490380455315418,1
GTP[c],GDP[c],0.2370502997269695,1
GDP[c],GDP[m],0.2370502997269695,1
GDP[m],GTP[m],0.2370502997269695,1
GTP[m],GTP[c],0.2370502997269695,1
tridecanoyl-[ACP][c],CO2[c],0.207902037712733,1
malonyl-[ACP][c],3-oxotridecanoyl-[ACP][c],0.207902037712733,1
3-oxotridecanoyl-[ACP][c],3-hydroxytridecanoyl-[ACP][c],0.207902037712733,1
3-hydroxytridecanoyl-[ACP][c],(2E)-tridecenoyl-[ACP][c],0.207902037712733,1
(2E)-tridecenoyl-[ACP][c],tridecanoyl-[ACP][c],0.207902037712733,1
ADP[c],ATP[c],0.18469528909585445,1
ATP[c],ADP[c],0.3474795148462624,2
ADP[c],ADP[m],0.16278422575040796,1
ADP[m],ATP[m],0.16278422575040796,1
ATP[m],ATP[c],0.16278422575040796,1
