Source,Target,Weight,NumberEFMs
Malate[c],Malate[m],626.6387673754681,15
Malate[m],OAA[m],550.3472072701843,12
OAA[m],Aspartate[m],319.6241532153939,7
Aspartate[m],Aspartate[c],319.6241532153939,7
Aspartate[c],OAA[c],319.6241532153939,7
OAA[c],Malate[c],532.32665126182,11
OAA[m],Citrate[m],230.72305405479037,5
Citrate[m],Citrate[c],230.72305405479037,5
Citrate[c],OAA[c],212.7024980464261,4
Glutamate[c],Glutamate[m],223.25202528921173,6
Glutamate[m],AKG[m],270.147297865486,9
AKG[m],AKG[c],216.2941461827927,5
AKG[c],Glutamate[c],216.2941461827927,5
Malate[m],Malate[c],94.31211611364799,4
Source,Glutamine[s],52.474005209253335,4
CO2[s],Sink,43.45921670985066,3
Glutamine[s],Glutamine[c],52.474005209253335,4
Glutamine[c],Glutamine[m],36.50133760343162,2
Glutamine[m],Glutamate[m],36.50133760343162,2
AKG[m],Succinyl-CoA[m],18.020556008364302,1
Succinyl-CoA[m],Succinate[m],18.020556008364302,1
Succinate[m],Fumarate[m],18.020556008364302,1
Fumarate[m],Malate[m],18.020556008364302,1
Citrate[c],Isocitrate[c],18.020556008364302,1
Isocitrate[c],CO2[c],18.020556008364302,1
CO2[c],CO2[s],43.45921670985066,3
AKG[m],CO2[m],25.43866070148636,2
CO2[m],CO2[c],25.43866070148636,2
AKG[m],Glutamate[m],10.393934972842624,1
Glutamine[c],Sink,9.014788499402679,1
Glutamine[c],Glutamate[c],6.957879106419038,1
