CCCCCCCC=CC(=O)S
CCCCCCCCCC=CC(=O)S
CCCCCCCCCCCCCCC=CC(=O)S
CCCCC=CC(=O)S
CCCCCCCCCCCCCC=CC(=O)S
CCCC=CC(=O)S
CCCCCCC=CC(=O)S
CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@@](n2cnc3c(N)ncnc32)[C@](O)[C@@]1OP(=O)(O)O
CCCCCC=CC(=O)S
CCCCCCCCCCCCC=CC(=O)S
CCC=CC(=O)S
CCCCCCCCCCCC=CC(=O)S
CCCCCCCCCCC=CC(=O)S
CCCCCCCCC=CC(=O)S
C[C](O)CC(=O)S
CCCCCCC[C](O)CC(=O)S
CCCCC[C](O)CC(=O)S
CCCCCCCCCCCCC[C](O)CC(=O)S
CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)O
C[C@@](O)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O
C[C@@](O)(CCOP(=O)(O)O)CC(=O)O
C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C[C@@](O)(CCO)CC(=O)O
C[C@H](O)[C@H](C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
O=C1CC(C(=O)O)NC(=O)N1
S
O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)(C)C1CC3
O=C(O)[C@@H]1CCC=N1
O=C(O)[C@@H](COP(=O)(O)O)OP(=O)(O)O
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
N[C@@H](CCCC=O)C(=O)O
CC(C=O)C(=O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCC(C)C(=O)C(=O)O
CCC(C)C(=O)C(=O)O
O=C(O)CCCC(=O)C(=O)O
CCC(=O)C(=O)O
CCC(=O)C(=O)O
O=C(O)[C@@H](CO)OP(=O)(O)O
NC(=O)[C](CO[C@]1OC[C@@](O[C@]2O[C@@](CO)[C@@](O)[C@@](O[C@]3O[C@@](CO)[C@@](O)[C@@](O[C@]4O[C@@](C(=O)O)[C@](O)[C@@](O)[C@@]4O)[C@@]3O)[C@@]2O)[C@](O)[C@@]1O)NC=O
CCCCCCCCCCCCCCC(O)CC(=O)S
CCCCC(O)CC(=O)S
C[C](CO)C(=O)O
CC(CO)C(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@](n2cnc3c(N)ncnc32)[C@@](O)[C@@]1OP(=O)(O)O
CCCCCCC(O)CC(=O)S
CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCCCCCCCCCCCC(O)CC(=O)S
CCC(O)CC(=O)S
CCCCCCCCCCC(O)CC(=O)S
CCCCCCCCC(O)CC(=O)S
CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CCC(=O)C(C)C1CC3
CC(C)C(=O)C(=O)O
CC(C)C(=O)C(=O)O
CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O
CCCCCCCC(=O)CC(=O)S
CCCCCCCCCC(=O)CC(=O)S
CCCCCCCCCC(=O)CCCCCCC(=O)S
CCCCC(=O)CC(=O)S
CCCCCCCCCCCCCC(=O)CC(=O)S
CCCC(=O)CC(=O)S
CCCCCCC(=O)CC(=O)S
CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@@](n2cnc3c(N)ncnc32)[C@](O)[C@@]1OP(=O)(O)O
CCCCCC(=O)CC(=O)S
CCCCCCCCCCCCC(=O)CC(=O)S
CCC(=O)CC(=O)S
CCCCCCCCCCCC(=O)CC(=O)S
CCCCCCCCCCC(=O)CC(=O)S
CCCCCCCCC(=O)CC(=O)S
O=C(O)[C@@H](CO)OP(=O)(O)O
O=C(O)C(=O)COP(=O)(O)O
N[C@@H](COP(=O)(O)O)C(=O)O
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C=O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C=O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(CO)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(CO)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C(=O)O)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(C=O)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C=O)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(CO)[C@@H]1CC3
CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](CO)[C@@H]1CC3
C[C@H](O)[C@H](O)[C@H]1CN=C2N=C(N)NC(=O)[C@]2(O)N1
