Cc1ncc(COP(=O)(O)O)c(N)n1
N[C@@H](Cc1ccccc1)C(=O)O
O=C(O)[C@@H](CO)OP(=O)(O)O
C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
CC(C)[C@H](N)C(=O)O
O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
CCCCCCCCCCCCCCCC(=O)O
C[C@@H](N)C(=O)N[C@H](C)C(=O)O
O=C(O)CC(O)C(=O)O
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CCO
N[C@@H](CC(=O)O)C(=O)O
O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1
CN[C@H]1[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12
[Na+]
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
[H+]
Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1
CCOC(=O)C(C)C(=O)O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
C[C@@H](N)C(=O)O
CC(C)C[C@H](N)C(=O)O
C=CC1=C(C)c2cc3c(C(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(C)c4cc5nc(cc6c(CCC(=O)O)c(C)c(cc1n2)n6n43)C(CCC(=O)O)=C5C=O
C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(=O)O
Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
N[C@@H](CCC[C@H](NC(=O)CCC(=O)O)C(=O)O)C(=O)O
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C
O=C(O)CO
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
CC(=O)N[C@@H](CCC[NH3+])C(=O)O
O=C(O)CCC(=O)c1ccccc1C(=O)O
O=C(O)O
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
NCCC[C@H](N)C(=O)O
[NH3+]CCCCC[NH3+]
[NH4+]
Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
CC(C)C(=O)SCCC(S)CCCCC(N)=O
CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1
CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(C)C(C(=O)O)C(O)C(=O)O
O=C(O)c1ccccc1N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C=CC1=C(C)c2cc3[n-]c(cc4[n-]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1[NH3+])C(=O)O
O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C[C@@]1(CC(=O)O)/C2=C/c3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)/C=C3\[NH2+]/C(=C\C(=N2)[C@H]1CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]3CCC(=O)O
O=P(O)(O)OC[C@H]1O[C@@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
Cc1cc2c(cc1C)N(CC(O)C(O)C(O)CO)c1[nH]c(=O)[nH]c(=O)c1N2
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2
[NH3+][C@@H](CCC=O)C(=O)O
O=C(O)c1cccnc1
O=N[O-]
OC1OC[C@@H](O)[C@@H](O)[C@H]1O
CC(C)[C@H](N)C(=O)O
CCC(C)C(=O)SCCC(S)CCCCC(N)=O
O=C(O)CC(O)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)O)C[C@@H]1O
NC=O
