x y n z
1 0.06566104702750665 74 1.094297053344612
1 0.05146406388642413 58 1.0133922757653184
1 0.05235137533274179 59 1.1525068908512481
1 0.05235137533274179 59 1.0123901231205596
1 0.06654835847382432 75 0.8794227715740064
1 0.00354924578527063 4 1.0311817175360247
1 0.00354924578527063 4 0.9765358735038739
1 0.00354924578527063 4 0.8912647706289467
1 0.00354924578527063 4 1.0462310680431377
1 0.00354924578527063 4 0.9919406913366795
1 0.00354924578527063 4 0.9187569312095576
1 0.00354924578527063 4 0.7938965615199679
1 0.00354924578527063 4 1.0313056369228677
1 0.00354924578527063 4 0.9520569687132882
1 0.00354924578527063 4 0.9055610975872016
1 0.00354924578527063 4 1.182432320667811
1 0.00354924578527063 4 0.894170278182972
1 0.00354924578527063 4 1.029216495153528
1 0.00354924578527063 4 1.124691224184166
1 0.00354924578527063 4 0.9570724602111743
1 0.00354924578527063 4 0.9974887432747873
1 0.00354924578527063 4 0.8788947130585565
1 0.00354924578527063 4 0.9421541033759238
1 0.00354924578527063 4 1.0076857629772111
1 0.00354924578527063 4 0.9004235434052297
1 0.00354924578527063 4 0.8976657117419653
1 0.0044365572315882874 5 0.9873203385796162
1 0.0044365572315882874 5 0.8503408569842019
1 0.0044365572315882874 5 1.055790010792367
1 0.0044365572315882874 5 0.9643511980332663
1 0.0044365572315882874 5 1.09500746872039
1 0.0044365572315882874 5 0.9797677795610462
1 0.0044365572315882874 5 1.0237598380814121
1 0.0044365572315882874 5 1.0100587904289298
1 0.0044365572315882874 5 0.9705849242509729
1 0.0044365572315882874 5 1.0200889032449247
1 0.0044365572315882874 5 1.076857015436099
1 0.0044365572315882874 5 0.9092805407303989
1 0.0044365572315882874 5 1.0624485136893116
1 0.0044365572315882874 5 0.9430081131486722
1 0.0044365572315882874 5 1.1828842798707702
1 0.0044365572315882874 5 1.0790778359468531
1 0.0044365572315882874 5 0.8226745651937285
1 0.0044365572315882874 5 1.0743780174343665
1 0.0044365572315882874 5 1.0092227258005309
1 0.0044365572315882874 5 1.0774858130401908
1 0.0044365572315882874 5 1.0034815429515116
1 0.008873114463176575 10 1.043388435631872
1 0.008873114463176575 10 0.9540806894130044
1 0.008873114463176575 10 0.9458935546612224
1 0.008873114463176575 10 1.0229779029905488
1 0.050576752440106475 57 0.8040275912253736
1 0.00354924578527063 4 0.8598984160268317
1 0.00354924578527063 4 1.0430262649549904
1 0.0026619343389529724 3 1.013925342050743
1 0.0026619343389529724 3 0.8853699482072828
1 0.0026619343389529724 3 1.1348997169849677
1 0.0026619343389529724 3 0.8933310393158024
1 0.0026619343389529724 3 0.9990261011448818
1 0.0026619343389529724 3 1.0687216420324201
1 0.0026619343389529724 3 1.0196702874963546
1 0.0026619343389529724 3 1.0261273178539239
1 0.0026619343389529724 3 1.1599352477398526
1 0.0026619343389529724 3 0.9618031735545621
1 0.0026619343389529724 3 1.0779907311745058
1 0.0026619343389529724 3 1.0963737793263273
1 0.0026619343389529724 3 0.9070847681730703
1 0.0026619343389529724 3 1.0078892095309768
1 0.0026619343389529724 3 1.0938834595037674
1 0.0026619343389529724 3 0.9643626778216083
1 0.0026619343389529724 3 0.9612626123197175
1 0.0026619343389529724 3 0.9641285722533381
1 0.0026619343389529724 3 0.9732398983194526
1 0.0026619343389529724 3 0.9490833984160346
1 0.0026619343389529724 3 1.1529944509955379
1 0.0026619343389529724 3 1.0166261864381654
1 0.0026619343389529724 3 1.0290687667874212
1 0.0026619343389529724 3 1.0887916870970822
